17;Автобус;5:40;23:00;10
18;Автобус;5:40;23:00;15
29;Автобус;5:40;0:30;20
98;Автобус;5:30;1:00;30
3;Тролейбус;5:10;23:00;15
20;Маршрутне таксі;5:30;22:00;20
31;Маршрутне таксі;6:00;19:30;15
37;Маршрутне таксі;6:00;21:00;25
42;Маршрутне таксі;5:30;22:00;15
44;Маршрутне таксі;6:00;21:00;15
46;Маршрутне таксі;5:30;21:00;10
55;Маршрутне таксі;6:00;21:00;30
61;Маршрутне таксі;5:30;21:00;5
62;Маршрутне таксі;5:30;22:00;15
67;Маршрутне таксі;5:30;22:00;15
74;Маршрутне таксі;5:30;22:00;15
75;Маршрутне таксі;5:30;21:00;15
81;Маршрутне таксі;5:30;21:00;10
84;Маршрутне таксі;5:30;21:00;10
88;Маршрутне таксі;5:30;21:00;10
99;Маршрутне таксі;5:30;22:00;15
3;Трамвай;5:30;1:00;15
16;Трамвай;5:00;0:00;15
