17;Автобус;5:40;23:00;10
18;Автобус;5:40;23:00;15
29;Автобус;5:40;0:30;20
38;Автобус;5:10;23:30;10
72;Автобус;5:10;23:00;10
1;Тролейбус;5:10;23:00;50
3;Тролейбус;5:10;23:00;15
8;Тролейбус;5:10;23:00;25
9;Тролейбус;6:00;22:35;30
11;Тролейбус;5:10;23:00;30
17;Тролейбус;5:10;23:00;40
4;Маршрутне таксі;5:30;22:00;15
10;Маршрутне таксі;5:30;22:00;15
14;Маршрутне таксі;5:30;23:00;10
16;Маршрутне таксі;6:00;20:00;50
19;Маршрутне таксі;5:30;21:00;10
26;Маршрутне таксі;5:30;22:00;15
30;Маршрутне таксі;6:00;19:30;25
36;Маршрутне таксі;5:30;22:00;15
40;Маршрутне таксі;5:30;21:00;5
40A;Маршрутне таксі;5:30;21:00;15
44A;Маршрутне таксі;6:00;21:00;15
45;Маршрутне таксі;5:30;21:00;45
46;Маршрутне таксі;5:30;21:00;10
50;Маршрутне таксі;8:00;16:00;60
54;Маршрутне таксі;6:00;21:00;10
58;Маршрутне таксі;5:30;22:00;15
61;Маршрутне таксі;5:30;21:00;5
62;Маршрутне таксі;5:30;22:00;15
63A;Маршрутне таксі;5:30;22:00;15
67;Маршрутне таксі;5:30;21:00;10
69;Маршрутне таксі;5:30;21:00;10
73;Маршрутне таксі;5:30;22:00;15
75;Маршрутне таксі;5:30;21:00;15
76;Маршрутне таксі;5:30;21:00;30
80;Маршрутне таксі;5:30;21:00;5
81;Маршрутне таксі;5:30;21:00;10
83;Маршрутне таксі;6:30;20:00;15
84;Маршрутне таксі;5:30;21:00;10
87;Маршрутне таксі;5:40;21:00;10
88;Маршрутне таксі;5:30;21:00;10
89;Маршрутне таксі;5:30;21:00;10
90;Маршрутне таксі;6:00;23:30;20
91;Маршрутне таксі;5:30;20:00;60
93;Маршрутне таксі;5:30;21:00;10
96;Маршрутне таксі;5:30;22:00;10
