17;Автобус;5:40;23:00;10
18;Автобус;5:40;23:00;15
29;Автобус;5:40;0:30;20
39;Автобус;6:00;0:00;10
59;Автобус;6:00;23:30;20
72;Автобус;5:10;23:00;10
85;Автобус;6:00;23:00;10
1;Тролейбус;5:10;23:00;50
3;Тролейбус;5:10;23:00;15
8;Тролейбус;5:10;23:00;25
11;Тролейбус;5:10;23:00;30
14;Тролейбус;5:20;0:00;25
17;Тролейбус;5:10;23:00;40
4;Маршрутне таксі;5:30;22:00;15
19;Маршрутне таксі;6:00;22:00;15
40;Маршрутне таксі;5:30;21:00;5
44A;Маршрутне таксі;6:00;21:00;15
46;Маршрутне таксі;5:30;21:00;10
55;Маршрутне таксі;6:00;21:00;30
61;Маршрутне таксі;5:30;21:00;5
62;Маршрутне таксі;5:30;22:00;15
63A;Маршрутне таксі;5:30;22:00;15
69;Маршрутне таксі;5:30;21:00;10
75;Маршрутне таксі;5:30;21:00;15
76;Маршрутне таксі;5:30;21:00;30
80;Маршрутне таксі;5:30;21:00;5
81;Маршрутне таксі;5:30;21:00;10
84;Маршрутне таксі;5:30;21:00;10
88;Маршрутне таксі;5:30;21:00;10
89;Маршрутне таксі;5:30;21:00;10
93;Маршрутне таксі;5:30;21:00;10
